     Index              y_true              y_pred        descriptor_1        descriptor_2
         1    0.4120000000E+00    0.4470454419E+00    0.3483726148E+03    0.0000000000E+00
         2    0.3580000000E+00    0.3599075122E+00    0.3481139947E+03   -0.8000000000E+01
         3    0.4560000000E+00    0.4465790171E+00    0.3483197493E+03    0.0000000000E+00
         4    0.2460000000E+00    0.4109246773E+00    0.3442786168E+03    0.0000000000E+00
         5    0.3837000000E+00    0.4466397722E+00    0.3483266354E+03    0.0000000000E+00
         6    0.3820000000E+00    0.4466397722E+00    0.3483266354E+03    0.0000000000E+00
         7    0.2982800000E+00    0.3604388980E+00    0.3481742230E+03   -0.8000000000E+01
         8    0.4277000000E+00    0.5300092094E+00    0.3481581272E+03    0.8000000000E+01
         9    0.4300000000E+00    0.4249029057E+00    0.3458629365E+03    0.0000000000E+00
        10    0.4503000000E+00    0.4883563624E+00    0.3530548752E+03    0.0000000000E+00
        11    0.4350000000E+00    0.4470114747E+00    0.3531776464E+03   -0.4000000000E+01
        12    0.1340000000E+00    0.3610012335E+00    0.3482379592E+03   -0.8000000000E+01
        13    0.1120000000E+00    0.5381653725E-01    0.3422743349E+03   -0.3200000000E+02
        14    0.2525080000E+00    0.4037719834E+00    0.3434679165E+03    0.0000000000E+00
        15    0.4140000000E+00    0.4376949149E+00    0.3473128078E+03    0.0000000000E+00
        16    0.3350000000E+00    0.4380994032E+00    0.3473586533E+03    0.0000000000E+00
        17    0.4776000000E+00    0.4378846204E+00    0.3473343094E+03    0.0000000000E+00
        18    0.3170000000E+00    0.4470454419E+00    0.3483726148E+03    0.0000000000E+00
        19    0.4570000000E+00    0.3958769015E+00    0.3425730725E+03    0.0000000000E+00
        20    0.8323680000E+00    0.4448674558E+00    0.3481257576E+03    0.0000000000E+00
        21    0.3022000000E+00    0.3250008472E+00    0.3345398421E+03    0.0000000000E+00
        22    0.3340000000E+00    0.3204356921E+00    0.3340224185E+03    0.0000000000E+00
        23    0.4489000000E+00    0.4715284628E+00    0.3511475682E+03    0.0000000000E+00
        24    0.4503000000E+00    0.4682599688E+00    0.3507771107E+03    0.0000000000E+00
        25    0.4489000000E+00    0.4693425900E+00    0.3508998171E+03    0.0000000000E+00
        26    0.4304000000E+00    0.4465856466E+00    0.3483205007E+03    0.0000000000E+00
        27    0.3858000000E+00    0.4077127228E+00    0.3439145676E+03    0.0000000000E+00
        28    0.3973000000E+00    0.4077585796E+00    0.3439197651E+03    0.0000000000E+00
        29    0.2180000000E+00    0.4053408376E+00    0.3436457335E+03    0.0000000000E+00
        30    0.4240000000E+00    0.4283573388E+00    0.3462544687E+03    0.0000000000E+00
        31    0.4005000000E+00    0.4319687518E+00    0.3466637933E+03    0.0000000000E+00
        32    0.3900000000E+00    0.3959863129E+00    0.3425854734E+03    0.0000000000E+00
        33    0.3725000000E+00    0.3234267197E+00    0.3295525459E+03    0.4000000000E+01
        34    0.4000000000E+00    0.4841219922E+00    0.3477660619E+03    0.4000000000E+01
        35    0.4640000000E+00    0.3747632923E+00    0.3401800148E+03    0.0000000000E+00
        36    0.2610000000E+00    0.3748342678E+00    0.3401880593E+03    0.0000000000E+00
        37    0.3900000000E+00    0.4075191616E+00    0.3438926290E+03    0.0000000000E+00
        38    0.3740000000E+00    0.4217488132E+00    0.3455054455E+03    0.0000000000E+00
        39    0.4370000000E+00    0.4915901237E+00    0.3438036330E+03    0.8000000000E+01
        40    0.3927000000E+00    0.4209103964E+00    0.3454104177E+03    0.0000000000E+00
        41    0.4370000000E+00    0.3773522057E+00    0.3404734473E+03    0.0000000000E+00
        42    0.3710000000E+00    0.3788119882E+00    0.3406389019E+03    0.0000000000E+00
        43    0.3550000000E+00    0.4127342791E+00    0.3444837206E+03    0.0000000000E+00
        44    0.3430000000E+00    0.3862941832E+00    0.3414869485E+03    0.0000000000E+00
        45    0.3620000000E+00    0.4681600307E+00    0.3411480205E+03    0.8000000000E+01
        46    0.3710000000E+00    0.3963320339E+00    0.3426246581E+03    0.0000000000E+00
        47    0.4410000000E+00    0.3162421697E+00    0.3431648795E+03   -0.8000000000E+01
        48    0.4600000000E+00    0.3963950530E+00    0.3426318008E+03    0.0000000000E+00
        49    0.4020000000E+00    0.4118163869E+00    0.3443796849E+03    0.0000000000E+00
        50    0.4380000000E+00    0.4114872978E+00    0.3443423853E+03    0.0000000000E+00
        51    0.3530000000E+00    0.4668739718E+00    0.3506200191E+03    0.0000000000E+00
        52    0.4540000000E+00    0.4191104159E+00    0.3452064044E+03    0.0000000000E+00
        53    0.6014000000E+00    0.4280231387E+00    0.3462165898E+03    0.0000000000E+00
        54    0.3690000000E+00    0.4466397722E+00    0.3483266354E+03    0.0000000000E+00
        55    0.4240000000E+00    0.4217740651E+00    0.3455083076E+03    0.0000000000E+00
        56    0.3280000000E+00    0.4074799934E+00    0.3438881896E+03    0.0000000000E+00
        57    0.3670000000E+00    0.4075191616E+00    0.3438926290E+03    0.0000000000E+00
        58    0.3710000000E+00    0.4217488132E+00    0.3455054455E+03    0.0000000000E+00
        59    0.4810000000E+00    0.4145499325E+00    0.3446895103E+03    0.0000000000E+00
        60    0.5540000000E+00    0.5298068545E+00    0.3481351919E+03    0.8000000000E+01
        61    0.4630000000E+00    0.4454189515E+00    0.3481882652E+03    0.0000000000E+00
        62    0.3370000000E+00    0.4572912456E+00    0.3495338942E+03    0.0000000000E+00
        63    0.3530000000E+00    0.3739860911E+00    0.3400919253E+03    0.0000000000E+00
        64    0.3340000000E+00    0.4162515275E+00    0.3448823724E+03    0.0000000000E+00
        65    0.4200000000E+00    0.4598418495E+00    0.3402052216E+03    0.8000000000E+01
        66    0.5462000000E+00    0.4463237136E+00    0.3482908127E+03    0.0000000000E+00
        67    0.4880000000E+00    0.4455579424E+00    0.3482040187E+03    0.0000000000E+00
        68    0.4650000000E+00    0.4468682075E+00    0.3483525267E+03    0.0000000000E+00
        69    0.4830000000E+00    0.4494837756E+00    0.3486489803E+03    0.0000000000E+00
        70    0.4440000000E+00    0.4717280632E+00    0.3511701913E+03    0.0000000000E+00
        71    0.4620000000E+00    0.4719301252E+00    0.3511930934E+03    0.0000000000E+00
        72    0.4470000000E+00    0.4469300487E+00    0.3483595359E+03    0.0000000000E+00
        73    0.5340000000E+00    0.4468371210E+00    0.3483490033E+03    0.0000000000E+00
        74    0.3020000000E+00    0.4464245192E+00    0.3483022382E+03    0.0000000000E+00
        75    0.4720000000E+00    0.4468135860E+00    0.3483463358E+03    0.0000000000E+00
        76    0.5080000000E+00    0.4464467951E+00    0.3483047630E+03    0.0000000000E+00
        77    0.5700000000E+00    0.4464300246E+00    0.3483028622E+03    0.0000000000E+00
        78    0.4950000000E+00    0.4468399011E+00    0.3483493184E+03    0.0000000000E+00
        79    0.4750000000E+00    0.4441286411E+00    0.3480420189E+03    0.0000000000E+00
        80    0.5520000000E+00    0.4742092310E+00    0.3514514117E+03    0.0000000000E+00
        81    0.4790000000E+00    0.4435895998E+00    0.3479809229E+03    0.0000000000E+00
        82    0.5020000000E+00    0.4774235518E+00    0.3518157291E+03    0.0000000000E+00
        83    0.3380000000E+00    0.4492866818E+00    0.3486266413E+03    0.0000000000E+00
        84    0.4550000000E+00    0.4475651462E+00    0.3484315191E+03    0.0000000000E+00
        85    0.5240000000E+00    0.4748183894E+00    0.3515204549E+03    0.0000000000E+00
        86    0.4490000000E+00    0.4737573418E+00    0.3514001937E+03    0.0000000000E+00
        87    0.4790000000E+00    0.4524933505E+00    0.3489900914E+03    0.0000000000E+00
        88    0.6480000000E+00    0.4166984644E+00    0.3449330291E+03    0.0000000000E+00
        89    0.4060000000E+00    0.3582997079E+00    0.3383140000E+03    0.0000000000E+00
        90    0.8830000000E+00    0.1000381415E+01    0.4110887946E+03    0.0000000000E+00
        91    0.1106000000E+01    0.9973574001E+00    0.4107836162E+03   -0.3125000000E-01
        92    0.1428000000E+01    0.1009865528E+01    0.4121637425E+03    0.0000000000E+00
        93    0.1245000000E+01    0.1009865528E+01    0.4121637425E+03    0.0000000000E+00
        94    0.6870500000E+00    0.8105033528E+00    0.3895676442E+03    0.0000000000E+00
        95    0.7485000000E+00    0.8053343806E+00    0.3889817828E+03    0.0000000000E+00
        96    0.7527000000E+00    0.7983789543E+00    0.3881934412E+03    0.0000000000E+00
        97    0.9780000000E+00    0.9815874396E+00    0.4089586487E+03    0.0000000000E+00
        98    0.8385000000E+00    0.9983111165E+00    0.4108541429E+03    0.0000000000E+00
        99    0.2696610000E+00    0.8055116645E+00    0.3890018765E+03    0.0000000000E+00
       100    0.5501770000E+00    0.7989216718E+00    0.3884052314E+03   -0.1250000000E+00
       101    0.9153400000E+00    0.7951468158E+00    0.3878271043E+03    0.0000000000E+00
       102    0.7800000000E+00    0.9609455111E+00    0.4066566216E+03   -0.3125000000E-01
       103    0.8670000000E+00    0.9768967158E+00    0.4084269929E+03    0.0000000000E+00
       104    0.1225000000E+01    0.9830584774E+00    0.4091253790E+03    0.0000000000E+00
       105    0.7520000000E+00    0.9874155367E+00    0.4096192166E+03    0.0000000000E+00
       106    0.9290000000E+00    0.8048747185E+00    0.3889296838E+03    0.0000000000E+00
       107    0.1556800000E+01    0.8037977590E+00    0.3888076191E+03    0.0000000000E+00
       108    0.6681000000E+00    0.7577282210E+00    0.3835860077E+03    0.0000000000E+00
       109    0.6840000000E+00    0.7680220352E+00    0.3847527287E+03    0.0000000000E+00
       110    0.9441500000E+00    0.9769748219E+00    0.4084358456E+03    0.0000000000E+00
       111    0.9472000000E+00    0.9769748219E+00    0.4084358456E+03    0.0000000000E+00
       112    0.9441500000E+00    0.9400545493E+00    0.4042512298E+03    0.0000000000E+00
       113    0.9839900000E+00    0.9098268453E+00    0.4008251628E+03    0.0000000000E+00
       114    0.8488500000E+00    0.8858413489E+00    0.3981065998E+03    0.0000000000E+00
       115    0.1084900000E+01    0.8671651117E+00    0.3959897986E+03    0.0000000000E+00
       116    0.4197500000E+00    0.9516411592E+00    0.4055644788E+03    0.0000000000E+00
       117    0.1029700000E+01    0.8895067287E+00    0.3985220411E+03    0.0000000000E+00
       118    0.7860000000E+00    0.8548471141E+00    0.3945936527E+03    0.0000000000E+00
       119    0.7800000000E+00    0.8449276776E+00    0.3934693644E+03    0.0000000000E+00
       120    0.6830000000E+00    0.6804627595E+00    0.3748285894E+03    0.0000000000E+00
       121    0.7860000000E+00    0.8659168784E+00    0.3958483214E+03    0.0000000000E+00
       122    0.9760000000E+00    0.8395772660E+00    0.3928629383E+03    0.0000000000E+00
       123    0.7220000000E+00    0.8376748819E+00    0.3925721796E+03    0.6250000000E-01
       124    0.1077000000E+01    0.9570008895E+00    0.4061719611E+03    0.0000000000E+00
       125    0.8260000000E+00    0.8933746910E+00    0.3989604435E+03    0.0000000000E+00
       126    0.1030000000E+01    0.9526573451E+00    0.4056420859E+03    0.3125000000E-01
       127    0.9900000000E+00    0.9608794243E+00    0.4066115618E+03    0.0000000000E+00
       128    0.9232000000E+00    0.8931759014E+00    0.3989379123E+03    0.0000000000E+00
       129    0.7985000000E+00    0.8948863501E+00    0.3991317779E+03    0.0000000000E+00
       130    0.7307000000E+00    0.8787557113E+00    0.3973034998E+03    0.0000000000E+00
       131    0.9093000000E+00    0.8998150520E+00    0.3996904066E+03    0.0000000000E+00
       132    0.8910000000E+00    0.8971573547E+00    0.3993891780E+03    0.0000000000E+00
       133    0.9255000000E+00    0.9122899907E+00    0.4011419099E+03   -0.3125000000E-01
       134    0.9617000000E+00    0.9246613903E+00    0.4025065391E+03    0.0000000000E+00
       135    0.9127000000E+00    0.9143252282E+00    0.4013350183E+03    0.0000000000E+00
       136    0.8770000000E+00    0.9309285498E+00    0.4032168712E+03    0.0000000000E+00
       137    0.9913000000E+00    0.9305002027E+00    0.4031683215E+03    0.0000000000E+00
       138    0.7302000000E+00    0.9402510193E+00    0.4042734981E+03    0.0000000000E+00
