     Index              y_true              y_pred        descriptor_1
         1    0.1951757140E+00    0.8691197974E-01    0.2316768077E+03
         2    0.1679537500E+00    0.1485516744E+00    0.2479530603E+03
         3    0.3499800000E+00    0.8926251522E-01    0.2322974777E+03
         4    0.7032090900E-01    0.1844598745E+00    0.2574347902E+03
         5    0.7243636400E-01    0.1869542559E+00    0.2580934434E+03
         6    0.5529000000E-01    0.1874149123E+00    0.2582150819E+03
         7    0.5104000000E-01    0.1932273173E+00    0.2597498749E+03
         8    0.3069614290E+00    0.3575887667E+00    0.3031502922E+03
         9    0.2216311760E+00    0.2992105127E+00    0.2877352384E+03
        10    0.2560593330E+00    0.3141000986E+00    0.2916669039E+03
        11    0.3326750000E+00    0.3087638244E+00    0.2902578355E+03
        12    0.2333850000E+00    0.3035696818E+00    0.2888862976E+03
        13    0.3264283330E+00    0.3062076517E+00    0.2895828660E+03
        14    0.4711120000E+00    0.3862918642E+00    0.3107294807E+03
        15    0.0000000000E+00   -0.2928596795E-01    0.2009941906E+03
        16    0.0000000000E+00   -0.6783833927E-01    0.1908142548E+03
        17    0.0000000000E+00   -0.2767983830E-02    0.2079963896E+03
        18    0.1330361540E+00    0.1016642641E+00    0.2355722181E+03
        19    0.0000000000E+00    0.9229423563E-01    0.2330980178E+03
        20    0.1997557140E+00    0.1695695410E+00    0.2535029273E+03
        21    0.3085842860E+00    0.1639624302E+00    0.2520223432E+03
        22    0.4027142860E+00    0.1662211916E+00    0.2526187798E+03
        23    0.3536300000E+00    0.1282504966E+00    0.2425924384E+03
        24    0.3863636400E-01    0.1481933642E+00    0.2478584468E+03
        25    0.5281818200E-01    0.1501259753E+00    0.2483687619E+03
        26    0.0000000000E+00   -0.6445307169E-01    0.1917081507E+03
        27    0.0000000000E+00   -0.6513999369E-01    0.1915267657E+03
        28    0.8108721860E+00    0.6314902580E+00    0.3754752751E+03
        29    0.7202180710E+00    0.6112398137E+00    0.3701280496E+03
        30    0.7601178000E+00    0.5953258455E+00    0.3659258911E+03
        31    0.7315117860E+00    0.6074350414E+00    0.3691233815E+03
        32    0.6597793700E-01    0.6098693565E+00    0.3697661739E+03
        33    0.8558470000E+00    0.7253587768E+00    0.4002617010E+03
        34    0.3350160900E+00    0.4912757592E+00    0.3384509742E+03
        35    0.3132295130E+00    0.3877207786E+00    0.3111067923E+03
        36    0.1195642860E+00    0.1209758595E+00    0.2406715361E+03
        37    0.1195642860E+00    0.1265708350E+00    0.2421489158E+03
        38    0.1452600000E+00    0.1239475643E+00    0.2414562288E+03
        39    0.1391585710E+00    0.1260895726E+00    0.2420218362E+03
        40    0.1327685710E+00    0.1245427406E+00    0.2416133879E+03
        41    0.1178657140E+00    0.1235560936E+00    0.2413528591E+03
        42    0.1047514290E+00    0.1221298900E+00    0.2409762633E+03
        43    0.7988000000E-01    0.1067855900E+00    0.2369245284E+03
        44    0.6979142900E-01    0.1166232614E+00    0.2395222120E+03
        45    0.5818142900E-01    0.1141511806E+00    0.2388694474E+03
        46    0.5622714300E-01    0.1128190708E+00    0.2385176975E+03
        47    0.5983714300E-01    0.1099997507E+00    0.2377732427E+03
        48    0.4412285700E-01    0.1080191396E+00    0.2372502530E+03
        49    0.1580909090E+00    0.1531943582E+00    0.2491789829E+03
        50    0.2164545450E+00    0.1691781812E+00    0.2533995869E+03
        51    0.4710000000E+00    0.1618313360E+00    0.2514596177E+03
        52    0.1527272700E-01    0.1541215497E+00    0.2494238122E+03
        53    0.2098181820E+00    0.1345794832E+00    0.2442636372E+03
        54    0.1568181820E+00    0.1666443516E+00    0.2527305172E+03
        55    0.2578181820E+00    0.1643122566E+00    0.2521147165E+03
        56    0.1499090910E+00    0.1619646803E+00    0.2514948279E+03
        57    0.3018181820E+00    0.1710908264E+00    0.2539046299E+03
        58    0.3544048380E+00    0.2276948229E+00    0.2688511826E+03
        59    0.3610000000E+00    0.1624493208E+00    0.2516227995E+03
        60    0.1808181820E+00    0.1770245135E+00    0.2554714480E+03
        61    0.3932727270E+00    0.1675501566E+00    0.2529696993E+03
        62    0.1793636360E+00    0.1781460284E+00    0.2557675893E+03
        63    0.2800909090E+00    0.1737959975E+00    0.2546189431E+03
        64    0.2128181820E+00    0.1592222125E+00    0.2507706663E+03
        65    0.5353975740E+00    0.3072001190E+00    0.2898449317E+03
        66    0.5863000000E+00    0.3427483332E+00    0.2992316056E+03
        67    0.5939533450E+00    0.3182082837E+00    0.2927516896E+03
        68    0.3081428570E+00    0.3107332829E+00    0.2907778803E+03
        69    0.3644000000E+00    0.1344090007E+00    0.2442186205E+03
        70    0.5866000000E+00    0.3245981202E+00    0.2944389561E+03
        71    0.1535454550E+00    0.1700707561E+00    0.2536352755E+03
        72    0.1472727300E-01    0.1576343408E+00    0.2503513813E+03
        73    0.1994545450E+00    0.1372348418E+00    0.2449647972E+03
        74    0.4089446680E+00    0.4727840340E+00    0.3335681468E+03
        75    0.4167228380E+00    0.5049979586E+00    0.3420743858E+03
        76    0.4285988180E+00    0.4794125997E+00    0.3353184509E+03
        77    0.4162676140E+00    0.4805338544E+00    0.3356145235E+03
        78    0.2064181800E-01    0.9792832986E-01    0.2345857270E+03
        79    0.1218706400E-01    0.1570323236E+00    0.2501924158E+03
        80    0.1133645500E-01    0.1547226925E+00    0.2495825468E+03
        81    0.1589571700E-01    0.1489562246E+00    0.2480598837E+03
        82    0.1431832500E-01    0.1567328542E+00    0.2501133395E+03
        83    0.2508003100E-01    0.1754968536E+00    0.2550680622E+03
        84    0.3299171600E-01    0.1572543003E+00    0.2502510298E+03
        85    0.2381994400E-01    0.1566386828E+00    0.2500884731E+03
        86    0.2141669200E-01    0.1341079218E+00    0.2441391192E+03
        87    0.5330821200E-01    0.1583041884E+00    0.2505282577E+03
        88    0.3495714100E-01    0.1361256263E+00    0.2446719036E+03
        89    0.2069119600E-01    0.1374083252E+00    0.2450106063E+03
        90    0.1422464500E-01    0.2400825883E+00    0.2721222306E+03
        91    0.4487266500E-01    0.1557182858E+00    0.2498454379E+03
        92    0.3128325700E-01    0.1583535868E+00    0.2505413016E+03
        93    0.2789470600E-01    0.1718947162E+00    0.2541169008E+03
        94    0.1948000230E+00    0.1555212296E+00    0.2497934043E+03
        95    0.1821744100E-01    0.2078681339E+00    0.2636158517E+03
        96    0.6564119900E-01    0.1646209661E+00    0.2521962327E+03
        97    0.3103896430E+00    0.2881973509E+00    0.2848271610E+03
        98    0.1704871200E-01    0.1504199625E+00    0.2484463906E+03
        99    0.4128181820E+00    0.1501324660E+00    0.2483704758E+03
       100    0.3252054590E+00    0.2849630945E+00    0.2839731403E+03
       101    0.3372727270E+00    0.2387503202E+00    0.2717704389E+03
       102    0.1546153850E+00    0.2911111526E+00    0.2855965641E+03
       103    0.2648000000E+00    0.3025543506E+00    0.2886181946E+03
       104    0.0000000000E+00    0.1287329012E+00    0.2427198196E+03
       105    0.0000000000E+00   -0.9141537650E-02    0.2063134226E+03
       106    0.0000000000E+00   -0.3937222048E-03    0.2086233246E+03
       107    0.4532157140E+00    0.1231921539E+00    0.2412567591E+03
       108    0.0000000000E+00    0.2261604936E+00    0.2684460357E+03
       109    0.4844071430E+00    0.1329972373E+00    0.2438458377E+03
       110    0.1211000000E-02    0.1989860141E+00    0.2612704860E+03
       111    0.6009353000E-02    0.2568594856E+00    0.2765522496E+03
       112    0.0000000000E+00    0.9821023241E-01    0.2346601647E+03
       113    0.0000000000E+00    0.1001069161E+00    0.2351609930E+03
       114    0.0000000000E+00    0.9748920725E-01    0.2344697746E+03
       115    0.0000000000E+00    0.9950347797E-01    0.2350016523E+03
       116    0.5007328570E+00    0.4339454103E+00    0.3233126247E+03
       117    0.4512022220E+00    0.4347335522E+00    0.3235207373E+03
       118    0.3712611110E+00    0.4338982091E+00    0.3233001610E+03
       119    0.5353455560E+00    0.4351097106E+00    0.3236200637E+03
       120    0.5259950000E+00    0.5089655017E+00    0.3431220343E+03
       121    0.7856233330E+00    0.5133092941E+00    0.3442690332E+03
       122    0.3604011110E+00    0.4342343939E+00    0.3233889322E+03
       123    0.5854166670E+00    0.5143277080E+00    0.3445379502E+03
       124    0.5090000000E-02    0.2618093296E+00    0.2778592793E+03
       125    0.3584714290E+00    0.4299249395E+00    0.3222510004E+03
       126    0.2568875000E+00    0.2390249799E+00    0.2718429641E+03
       127    0.1941225000E+00    0.2600380173E+00    0.2773915559E+03
       128    0.2983383330E+00    0.4739340483E+00    0.3338718135E+03
       129    0.1241100000E+00    0.6672799362E-01    0.2263471308E+03
       130    0.2154342860E+00    0.4289165743E+00    0.3219847368E+03
       131    0.2939325000E+00    0.2435760888E+00    0.2730447059E+03
       132    0.3207300000E+00    0.2470150274E+00    0.2739527739E+03
       133    0.3308575000E+00    0.2509712763E+00    0.2749974401E+03
       134    0.3168300000E+00    0.2472935841E+00    0.2740263281E+03
       135    0.2597825000E+00    0.2508581062E+00    0.2749675570E+03
       136    0.3048175000E+00    0.2582954902E+00    0.2769314334E+03
       137    0.3198800000E+00    0.2583062823E+00    0.2769342831E+03
       138    0.3532037500E+00    0.2583171490E+00    0.2769371525E+03
       139    0.3771087500E+00    0.2583280888E+00    0.2769400412E+03
       140    0.3841962500E+00    0.2583391020E+00    0.2769429493E+03
       141    0.3853100000E+00    0.3382291359E+00    0.2980382902E+03
