composition	zT	TmP	AtPC	AtPA	V_C	V_A	CovC	CovA	CovDiff	CovRat	EN_C	EN_A	EN_Dif	AW_C	AW_A	AW_Dif	IE_C	IE_A	IE_Dif
Na0.029Cu0.002Sn0.969Se1	0.020893746	303.95617	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.029142063	322.70063	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.055680562	370.37629	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.100941234	419.5066	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.157494234	467.9581	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.278560554	517.0885	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.359598984	566.7962	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.380117292	616.077	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.434539996	665.539	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.525644628	715.2453	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.029Cu0.002Sn0.969Se1	0.736712202	764.984	0.5	0.5	13.617	16	1.41371	1.16	0.25371	1.218715517	1.93001	2.55	-0.61999	115.8237853	78.971	36.85278527	7.2807258	9.7524	-2.4716742
Na0.028Cu0.01Sn0.963Se1	0.009336568	303.79114	0.500249875	0.499750125	13.62	16	1.413336663	1.16	0.253336663	1.218393675	1.930589411	2.55	-0.619410589	115.4814221	78.971	36.51042208	7.286048452	9.7524	-2.466351548
